message,prediction
See you at the conference,1
I'll call you in the evening,1
Thanks for the help!,1
Can you send me the report?,1
Earn money from home easily,0
Thanks for the help!,1
Check out the shared folder,1
Thanks for the help!,1
Exclusive deal just for you,0
Thanks for the help!,1
Exclusive deal just for you,0
See you at the conference,1
Can you send me the report?,1
Win a free iPhone now!,0
Thanks for the help!,1
Win a free iPhone now!,0
Get rich quick!,0
Happy birthday!,1
I'll call you in the evening,1
Get rich quick!,0
I'll call you in the evening,1
What's the update on that task?,1
Unclaimed reward waiting for you,0
Don't forget the meeting at 3PM,1
Exclusive deal just for you,0
Unclaimed reward waiting for you,0
Click this link to claim your prize,0
Click this link to claim your prize,0
Click this link to claim your prize,0
100% guaranteed investment,0
"Congratulations, you've won!",0
Click this link to claim your prize,0
Exclusive deal just for you,0
I'll call you in the evening,1
Unclaimed reward waiting for you,0
What's the update on that task?,1
Let's catch up soon,1
Don't forget the meeting at 3PM,1
Can you send me the report?,1
Exclusive deal just for you,0
Check out the shared folder,1
What's the update on that task?,1
Let's catch up soon,1
Can you send me the report?,1
Win a free iPhone now!,0
See you at the conference,1
Can you send me the report?,1
Get rich quick!,0
Happy birthday!,1
I'll call you in the evening,1
See you at the conference,1
Unclaimed reward waiting for you,0
Hot singles in your area,0
Act now before it's too late!,0
Unclaimed reward waiting for you,0
Hot singles in your area,0
Get rich quick!,0
Get rich quick!,0
Exclusive deal just for you,0
Let's catch up soon,1
"Congratulations, you've won!",0
100% guaranteed investment,0
Exclusive deal just for you,0
Win a free iPhone now!,0
Happy birthday!,1
100% guaranteed investment,0
I'll call you in the evening,1
Unclaimed reward waiting for you,0
Let's catch up soon,1
Earn money from home easily,0
"Congratulations, you've won!",0
Let's catch up soon,1
Win a free iPhone now!,0
Get rich quick!,0
Click this link to claim your prize,0
"Hey, are we still on for lunch?",1
Unclaimed reward waiting for you,0
Let's catch up soon,1
I'll call you in the evening,1
"Congratulations, you've won!",0
Act now before it's too late!,0
Happy birthday!,1
Get rich quick!,0
Happy birthday!,1
Exclusive deal just for you,0
Click this link to claim your prize,0
100% guaranteed investment,0
Win a free iPhone now!,0
See you at the conference,1
Don't forget the meeting at 3PM,1
Earn money from home easily,0
See you at the conference,1
Act now before it's too late!,0
Check out the shared folder,1
Happy birthday!,1
Thanks for the help!,1
100% guaranteed investment,0
Check out the shared folder,1
What's the update on that task?,1
See you at the conference,1
Can you send me the report?,1
Unclaimed reward waiting for you,0
"Hey, are we still on for lunch?",1
Earn money from home easily,0
"Hey, are we still on for lunch?",1
What's the update on that task?,1
Let's catch up soon,1
Happy birthday!,1
Act now before it's too late!,0
Hot singles in your area,0
What's the update on that task?,1
Let's catch up soon,1
Happy birthday!,1
Check out the shared folder,1
Don't forget the meeting at 3PM,1
Unclaimed reward waiting for you,0
I'll call you in the evening,1
What's the update on that task?,1
"Hey, are we still on for lunch?",1
Exclusive deal just for you,0
I'll call you in the evening,1
Click this link to claim your prize,0
Happy birthday!,1
Earn money from home easily,0
Earn money from home easily,0
Act now before it's too late!,0
Let's catch up soon,1
Hot singles in your area,0
Win a free iPhone now!,0
What's the update on that task?,1
"Hey, are we still on for lunch?",1
I'll call you in the evening,1
Thanks for the help!,1
Act now before it's too late!,0
I'll call you in the evening,1
Act now before it's too late!,0
Get rich quick!,0
Thanks for the help!,1
Earn money from home easily,0
What's the update on that task?,1
Happy birthday!,1
Happy birthday!,1
Check out the shared folder,1
Check out the shared folder,1
Earn money from home easily,0
Earn money from home easily,0
See you at the conference,1
100% guaranteed investment,0
I'll call you in the evening,1
100% guaranteed investment,0
Exclusive deal just for you,0
Check out the shared folder,1
Let's catch up soon,1
Earn money from home easily,0
Get rich quick!,0
Hot singles in your area,0
Can you send me the report?,1
Hot singles in your area,0
Let's catch up soon,1
Let's catch up soon,1
Win a free iPhone now!,0
Thanks for the help!,1
"Congratulations, you've won!",0
"Congratulations, you've won!",0
Hot singles in your area,0
Can you send me the report?,1
Exclusive deal just for you,0
What's the update on that task?,1
Exclusive deal just for you,0
You have been selected for a limited access beta program!,0
Click this link to claim your prize,0
Earn money from home easily,0
Don't forget the meeting at 3PM,1
Let's catch up soon,1
Click this link to claim your prize,0
Happy birthday!,1
Get rich quick!,0
Click this link to claim your prize,0
Don't forget the meeting at 3PM,1
Click this link to claim your prize,0
Thanks for the help!,1
"Hey, are we still on for lunch?",1
I'll call you in the evening,1
Thanks for the help!,1
Win a free iPhone now!,0
Exclusive deal just for you,0
Let's catch up soon,1
Get rich quick!,0
Can you send me the report?,1
Earn money from home easily,0
Unclaimed reward waiting for you,0
What's the update on that task?,1
I'll call you in the evening,1
"Congratulations, you've won!",0
"Hey, are we still on for lunch?",1
Hot singles in your area,0
Act now before it's too late!,0
Unclaimed reward waiting for you,0
"Congratulations, you've won!",0
Unclaimed reward waiting for you,0
See you at the conference,1
Click this link to claim your prize,0
Let's catch up soon,1
Act now before it's too late!,0
Earn money from home easily,0
What's the update on that task?,1
What's the update on that task?,1
Act now before it's too late!,0
Get rich quick!,0
Happy birthday!,1
Exclusive deal just for you,0
What's the update on that task?,1
Don't forget the meeting at 3PM,1
Thanks for the help!,1
I'll call you in the evening,1
Act now before it's too late!,0
Don't forget the meeting at 3PM,1
I'll call you in the evening,1
Click this link to claim your prize,0
See you at the conference,1
Earn money from home easily,0
100% guaranteed investment,0
"Hey, are we still on for lunch?",1
Earn money from home easily,0
Let's catch up soon,1
Check out the shared folder,1
What's the update on that task?,1
Unclaimed reward waiting for you,0
"Hey, are we still on for lunch?",1
Unclaimed reward waiting for you,0
I'll call you in the evening,1
See you at the conference,1
Can you send me the report?,1
Click this link to claim your prize,0
100% guaranteed investment,0
Get rich quick!,0
Get rich quick!,0
Unclaimed reward waiting for you,0
Act now before it's too late!,0
Unclaimed reward waiting for you,0
Can you send me the report?,1
I'll call you in the evening,1
Act now before it's too late!,0
Let's catch up soon,1
Click this link to claim your prize,0
Win a free iPhone now!,0
I'll call you in the evening,1
Act now before it's too late!,0
Exclusive deal just for you,0
Happy birthday!,1
